City_x,superhost_period_all,Airbnb Host ID,Airbnb Property ID,Superhost,available_days,available_days_aveListedPrice,booked_days,Cleaning Fee (USD),Nightly Rate,Number of Reviews,Rating Overall,revenue,occupancy_rate,date_range,Estimated Cases,Estimated Deaths
Boston,17,1329,1329,1329,131.836719337848,206.41944697357414,26.817155756207676,84.92840287697828,209.8153373468247,67.49586155003762,92.13769751693002,5385.373212942061,0.2760744669751693,Jul_19_to_Sep_19,0.0,0.0
Boston,18,937,937,937,151.67556029882604,174.5554318681857,17.290288153681963,84.79082158435239,149.7963790892956,76.33938100320171,92.46638207043756,2534.8100320170756,0.14570192666915688,Oct_19_to_Dec_19,0.0,0.0
Boston,19,723,723,723,156.41632088520055,192.0057004202628,17.61410788381743,89.07184484933921,162.17237535414938,66.0,92.54080221300138,2672.3651452282156,0.14253653913278008,Jan_20_to_Mar_20,2000.0,50.0
Boston,20,670,670,670,152.0268656716418,193.58955069074628,18.12537313432836,90.25297704224631,167.95820895522388,65.02985074626865,91.97313432835821,3176.4328358208954,0.1545335981238806,Apr_20_to_Jun_20,30000.0,1000.0
Chicago,17,5416,5416,5416,162.0967503692762,129.7923015454099,26.842503692762186,71.93926405231356,120.60795426569977,56.19516248153619,95.10136632200886,3727.3735228951255,0.19946243503600442,Jul_19_to_Sep_19,0.0,0.0
Chicago,18,4824,4824,4824,168.76243781094527,123.56495645607173,17.448175787728026,74.78662814000585,105.46796812959577,60.03710613598673,95.20190713101161,1911.195688225539,0.12528905952238806,Oct_19_to_Dec_19,0.0,0.0
Chicago,19,4722,4722,4722,158.2609063955951,133.15499867855993,16.614570097416347,75.91967539322708,106.6372430883778,61.96759847522236,95.38966539601864,2027.633418043202,0.14457758443096147,Jan_20_to_Mar_20,5000.0,150.0
Chicago,20,3656,3656,3656,150.33369803063457,147.1320508786406,20.89551422319475,77.67185477558462,114.93052516411379,60.36159737417943,95.17532822757111,2864.2792669584246,0.19622122557658642,Apr_20_to_Jun_20,70000.0,2150.0
